Date,F1,F2,F3,F4,F5,F6,Label
1981-03-09,17.0,16.0,13.3,14.3,11.4,16.3,16.1
1981-03-10,16.0,13.3,14.3,11.4,16.3,16.1,11.8
1981-03-11,13.3,14.3,11.4,16.3,16.1,11.8,12.2
1981-03-12,14.3,11.4,16.3,16.1,11.8,12.2,14.7
1981-03-13,11.4,16.3,16.1,11.8,12.2,14.7,11.8
1981-03-14,16.3,16.1,11.8,12.2,14.7,11.8,11.3
1981-03-15,16.1,11.8,12.2,14.7,11.8,11.3,10.6
1981-03-16,11.8,12.2,14.7,11.8,11.3,10.6,11.7
1981-03-17,12.2,14.7,11.8,11.3,10.6,11.7,14.2
1981-03-18,14.7,11.8,11.3,10.6,11.7,14.2,11.2
1981-03-19,11.8,11.3,10.6,11.7,14.2,11.2,16.9
1981-03-20,11.3,10.6,11.7,14.2,11.2,16.9,16.7
1981-03-21,10.6,11.7,14.2,11.2,16.9,16.7,8.1
1981-03-22,11.7,14.2,11.2,16.9,16.7,8.1,8.0
1981-03-23,14.2,11.2,16.9,16.7,8.1,8.0,8.8
1981-03-24,11.2,16.9,16.7,8.1,8.0,8.8,13.4
1981-03-25,16.9,16.7,8.1,8.0,8.8,13.4,10.9
1981-03-26,16.7,8.1,8.0,8.8,13.4,10.9,13.4
1981-03-27,8.1,8.0,8.8,13.4,10.9,13.4,11.0
1981-03-28,8.0,8.8,13.4,10.9,13.4,11.0,15.0
1981-03-29,8.8,13.4,10.9,13.4,11.0,15.0,15.7
1981-03-30,13.4,10.9,13.4,11.0,15.0,15.7,14.5
1981-03-31,10.9,13.4,11.0,15.0,15.7,14.5,15.8
1981-04-01,13.4,11.0,15.0,15.7,14.5,15.8,16.7
1981-04-02,11.0,15.0,15.7,14.5,15.8,16.7,16.8
1981-04-03,15.0,15.7,14.5,15.8,16.7,16.8,17.5
1981-04-04,15.7,14.5,15.8,16.7,16.8,17.5,17.1
1981-04-05,14.5,15.8,16.7,16.8,17.5,17.1,18.1
1981-04-06,15.8,16.7,16.8,17.5,17.1,18.1,16.6
1981-04-07,16.7,16.8,17.5,17.1,18.1,16.6,10.0
1981-04-08,16.8,17.5,17.1,18.1,16.6,10.0,14.9
1981-04-09,17.5,17.1,18.1,16.6,10.0,14.9,15.9
1981-04-10,17.1,18.1,16.6,10.0,14.9,15.9,13.0
1981-04-11,18.1,16.6,10.0,14.9,15.9,13.0,7.6
1981-04-12,16.6,10.0,14.9,15.9,13.0,7.6,11.5
1981-04-13,10.0,14.9,15.9,13.0,7.6,11.5,13.5
1981-04-14,14.9,15.9,13.0,7.6,11.5,13.5,13.0
1981-04-15,15.9,13.0,7.6,11.5,13.5,13.0,13.3
1981-04-16,13.0,7.6,11.5,13.5,13.0,13.3,12.1
1981-04-17,7.6,11.5,13.5,13.0,13.3,12.1,12.4
1981-04-18,11.5,13.5,13.0,13.3,12.1,12.4,13.2
1981-04-19,13.5,13.0,13.3,12.1,12.4,13.2,13.8
1981-04-20,13.0,13.3,12.1,12.4,13.2,13.8,10.6
1981-04-21,13.3,12.1,12.4,13.2,13.8,10.6,9.0
1981-04-22,12.1,12.4,13.2,13.8,10.6,9.0,10.0
1981-04-23,12.4,13.2,13.8,10.6,9.0,10.0,9.8
1981-04-24,13.2,13.8,10.6,9.0,10.0,9.8,11.5
1981-04-25,13.8,10.6,9.0,10.0,9.8,11.5,8.9
1981-04-26,10.6,9.0,10.0,9.8,11.5,8.9,7.4
1981-04-27,9.0,10.0,9.8,11.5,8.9,7.4,9.9
1981-04-28,10.0,9.8,11.5,8.9,7.4,9.9,9.3
1981-04-29,9.8,11.5,8.9,7.4,9.9,9.3,9.9
1981-04-30,11.5,8.9,7.4,9.9,9.3,9.9,7.4
1981-05-01,8.9,7.4,9.9,9.3,9.9,7.4,8.6
1981-05-02,7.4,9.9,9.3,9.9,7.4,8.6,11.9
1981-05-03,9.9,9.3,9.9,7.4,8.6,11.9,14.0
1981-05-04,9.3,9.9,7.4,8.6,11.9,14.0,8.6
1981-05-05,9.9,7.4,8.6,11.9,14.0,8.6,10.0
1981-05-06,7.4,8.6,11.9,14.0,8.6,10.0,13.5
1981-05-07,8.6,11.9,14.0,8.6,10.0,13.5,12.0
1981-05-08,11.9,14.0,8.6,10.0,13.5,12.0,10.5
1981-05-09,14.0,8.6,10.0,13.5,12.0,10.5,10.7
1981-05-10,8.6,10.0,13.5,12.0,10.5,10.7,8.1
1981-05-11,10.0,13.5,12.0,10.5,10.7,8.1,10.1
1981-05-12,13.5,12.0,10.5,10.7,8.1,10.1,10.6
1981-05-13,12.0,10.5,10.7,8.1,10.1,10.6,5.3
1981-05-14,10.5,10.7,8.1,10.1,10.6,5.3,6.6
1981-05-15,10.7,8.1,10.1,10.6,5.3,6.6,8.5
1981-05-16,8.1,10.1,10.6,5.3,6.6,8.5,11.2
1981-05-17,10.1,10.6,5.3,6.6,8.5,11.2,9.8
1981-05-18,10.6,5.3,6.6,8.5,11.2,9.8,5.9
1981-05-19,5.3,6.6,8.5,11.2,9.8,5.9,3.2
1981-05-20,6.6,8.5,11.2,9.8,5.9,3.2,2.1
1981-05-21,8.5,11.2,9.8,5.9,3.2,2.1,3.4
1981-05-22,11.2,9.8,5.9,3.2,2.1,3.4,5.4
1981-05-23,9.8,5.9,3.2,2.1,3.4,5.4,9.6
1981-05-24,5.9,3.2,2.1,3.4,5.4,9.6,11.5
1981-05-25,3.2,2.1,3.4,5.4,9.6,11.5,12.3
1981-05-26,2.1,3.4,5.4,9.6,11.5,12.3,12.6
1981-05-27,3.4,5.4,9.6,11.5,12.3,12.6,11.0
1981-05-28,5.4,9.6,11.5,12.3,12.6,11.0,11.2
1981-05-29,9.6,11.5,12.3,12.6,11.0,11.2,11.4
1981-05-30,11.5,12.3,12.6,11.0,11.2,11.4,11.8
1981-05-31,12.3,12.6,11.0,11.2,11.4,11.8,12.8
1981-06-01,12.6,11.0,11.2,11.4,11.8,12.8,11.6
1981-06-02,11.0,11.2,11.4,11.8,12.8,11.6,10.6
1981-06-03,11.2,11.4,11.8,12.8,11.6,10.6,9.8
1981-06-04,11.4,11.8,12.8,11.6,10.6,9.8,11.2
1981-06-05,11.8,12.8,11.6,10.6,9.8,11.2,5.7
1981-06-06,12.8,11.6,10.6,9.8,11.2,5.7,7.1
1981-06-07,11.6,10.6,9.8,11.2,5.7,7.1,2.5
1981-06-08,10.6,9.8,11.2,5.7,7.1,2.5,3.5
1981-06-09,9.8,11.2,5.7,7.1,2.5,3.5,4.6
1981-06-10,11.2,5.7,7.1,2.5,3.5,4.6,11.0
1981-06-11,5.7,7.1,2.5,3.5,4.6,11.0,5.7
1981-06-12,7.1,2.5,3.5,4.6,11.0,5.7,7.7
1981-06-13,2.5,3.5,4.6,11.0,5.7,7.7,10.4
1981-06-14,3.5,4.6,11.0,5.7,7.7,10.4,11.4
1981-06-15,4.6,11.0,5.7,7.7,10.4,11.4,9.2
1981-06-16,11.0,5.7,7.7,10.4,11.4,9.2,6.1
1981-06-17,5.7,7.7,10.4,11.4,9.2,6.1,2.7
1981-06-18,7.7,10.4,11.4,9.2,6.1,2.7,4.3
1981-06-19,10.4,11.4,9.2,6.1,2.7,4.3,6.3
1981-06-20,11.4,9.2,6.1,2.7,4.3,6.3,3.8
1981-06-21,9.2,6.1,2.7,4.3,6.3,3.8,4.4
1981-06-22,6.1,2.7,4.3,6.3,3.8,4.4,7.1
1981-06-23,2.7,4.3,6.3,3.8,4.4,7.1,4.8
1981-06-24,4.3,6.3,3.8,4.4,7.1,4.8,5.8
1981-06-25,6.3,3.8,4.4,7.1,4.8,5.8,6.2
1981-06-26,3.8,4.4,7.1,4.8,5.8,6.2,7.3
1981-06-27,4.4,7.1,4.8,5.8,6.2,7.3,9.2
1981-06-28,7.1,4.8,5.8,6.2,7.3,9.2,10.2
1981-06-29,4.8,5.8,6.2,7.3,9.2,10.2,9.5
1981-06-30,5.8,6.2,7.3,9.2,10.2,9.5,9.5
1981-07-01,6.2,7.3,9.2,10.2,9.5,9.5,10.7
1981-07-02,7.3,9.2,10.2,9.5,9.5,10.7,10.0
1981-07-03,9.2,10.2,9.5,9.5,10.7,10.0,6.5
1981-07-04,10.2,9.5,9.5,10.7,10.0,6.5,7.0
1981-07-05,9.5,9.5,10.7,10.0,6.5,7.0,7.4
1981-07-06,9.5,10.7,10.0,6.5,7.0,7.4,8.1
1981-07-07,10.7,10.0,6.5,7.0,7.4,8.1,6.6
1981-07-08,10.0,6.5,7.0,7.4,8.1,6.6,8.3
1981-07-09,6.5,7.0,7.4,8.1,6.6,8.3,8.9
1981-07-10,7.0,7.4,8.1,6.6,8.3,8.9,4.6
1981-07-11,7.4,8.1,6.6,8.3,8.9,4.6,6.8
1981-07-12,8.1,6.6,8.3,8.9,4.6,6.8,5.7
1981-07-13,6.6,8.3,8.9,4.6,6.8,5.7,6.1
1981-07-14,8.3,8.9,4.6,6.8,5.7,6.1,7.0
1981-07-15,8.9,4.6,6.8,5.7,6.1,7.0,7.2
1981-07-16,4.6,6.8,5.7,6.1,7.0,7.2,6.3
1981-07-17,6.8,5.7,6.1,7.0,7.2,6.3,8.8
1981-07-18,5.7,6.1,7.0,7.2,6.3,8.8,5.0
1981-07-19,6.1,7.0,7.2,6.3,8.8,5.0,7.4
1981-07-20,7.0,7.2,6.3,8.8,5.0,7.4,10.1
1981-07-21,7.2,6.3,8.8,5.0,7.4,10.1,12.0
1981-07-22,6.3,8.8,5.0,7.4,10.1,12.0,9.0
1981-07-23,8.8,5.0,7.4,10.1,12.0,9.0,8.9
1981-07-24,5.0,7.4,10.1,12.0,9.0,8.9,9.8
1981-07-25,7.4,10.1,12.0,9.0,8.9,9.8,9.0
1981-07-26,10.1,12.0,9.0,8.9,9.8,9.0,9.2
1981-07-27,12.0,9.0,8.9,9.8,9.0,9.2,7.7
1981-07-28,9.0,8.9,9.8,9.0,9.2,7.7,8.0
1981-07-29,8.9,9.8,9.0,9.2,7.7,8.0,6.1
1981-07-30,9.8,9.0,9.2,7.7,8.0,6.1,3.5
1981-07-31,9.0,9.2,7.7,8.0,6.1,3.5,3.2
1981-08-01,9.2,7.7,8.0,6.1,3.5,3.2,5.7
1981-08-02,7.7,8.0,6.1,3.5,3.2,5.7,7.7
1981-08-03,8.0,6.1,3.5,3.2,5.7,7.7,9.0
1981-08-04,6.1,3.5,3.2,5.7,7.7,9.0,10.0
1981-08-05,3.5,3.2,5.7,7.7,9.0,10.0,6.2
1981-08-06,3.2,5.7,7.7,9.0,10.0,6.2,6.9
1981-08-07,5.7,7.7,9.0,10.0,6.2,6.9,6.5
1981-08-08,7.7,9.0,10.0,6.2,6.9,6.5,6.8
1981-08-09,9.0,10.0,6.2,6.9,6.5,6.8,7.0
1981-08-10,10.0,6.2,6.9,6.5,6.8,7.0,5.2
1981-08-11,6.2,6.9,6.5,6.8,7.0,5.2,3.0
1981-08-12,6.9,6.5,6.8,7.0,5.2,3.0,5.6
1981-08-13,6.5,6.8,7.0,5.2,3.0,5.6,7.9
1981-08-14,6.8,7.0,5.2,3.0,5.6,7.9,9.0
1981-08-15,7.0,5.2,3.0,5.6,7.9,9.0,8.6
1981-08-16,5.2,3.0,5.6,7.9,9.0,8.6,10.3
1981-08-17,3.0,5.6,7.9,9.0,8.6,10.3,10.5
1981-08-18,5.6,7.9,9.0,8.6,10.3,10.5,7.6
1981-08-19,7.9,9.0,8.6,10.3,10.5,7.6,9.7
1981-08-20,9.0,8.6,10.3,10.5,7.6,9.7,12.5
1981-08-21,8.6,10.3,10.5,7.6,9.7,12.5,7.4
1981-08-22,10.3,10.5,7.6,9.7,12.5,7.4,7.9
1981-08-23,10.5,7.6,9.7,12.5,7.4,7.9,3.9
1981-08-24,7.6,9.7,12.5,7.4,7.9,3.9,6.6
1981-08-25,9.7,12.5,7.4,7.9,3.9,6.6,4.6
1981-08-26,12.5,7.4,7.9,3.9,6.6,4.6,7.0
1981-08-27,7.4,7.9,3.9,6.6,4.6,7.0,6.0
1981-08-28,7.9,3.9,6.6,4.6,7.0,6.0,5.5
1981-08-29,3.9,6.6,4.6,7.0,6.0,5.5,8.1
1981-08-30,6.6,4.6,7.0,6.0,5.5,8.1,5.5
1981-08-31,4.6,7.0,6.0,5.5,8.1,5.5,6.2
1981-09-01,7.0,6.0,5.5,8.1,5.5,6.2,8.0
1981-09-02,6.0,5.5,8.1,5.5,6.2,8.0,10.3
1981-09-03,5.5,8.1,5.5,6.2,8.0,10.3,9.8
1981-09-04,8.1,5.5,6.2,8.0,10.3,9.8,9.6
1981-09-05,5.5,6.2,8.0,10.3,9.8,9.6,8.5
1981-09-06,6.2,8.0,10.3,9.8,9.6,8.5,7.5
1981-09-07,8.0,10.3,9.8,9.6,8.5,7.5,11.2
1981-09-08,10.3,9.8,9.6,8.5,7.5,11.2,14.6
1981-09-09,9.8,9.6,8.5,7.5,11.2,14.6,11.7
1981-09-10,9.6,8.5,7.5,11.2,14.6,11.7,7.8
1981-09-11,8.5,7.5,11.2,14.6,11.7,7.8,12.3
1981-09-12,7.5,11.2,14.6,11.7,7.8,12.3,10.1
1981-09-13,11.2,14.6,11.7,7.8,12.3,10.1,11.5
1981-09-14,14.6,11.7,7.8,12.3,10.1,11.5,7.3
1981-09-15,11.7,7.8,12.3,10.1,11.5,7.3,10.9
1981-09-16,7.8,12.3,10.1,11.5,7.3,10.9,14.1
1981-09-17,12.3,10.1,11.5,7.3,10.9,14.1,10.7
1981-09-18,10.1,11.5,7.3,10.9,14.1,10.7,16.9
1981-09-19,11.5,7.3,10.9,14.1,10.7,16.9,10.5
1981-09-20,7.3,10.9,14.1,10.7,16.9,10.5,6.5
1981-09-21,10.9,14.1,10.7,16.9,10.5,6.5,11.0
1981-09-22,14.1,10.7,16.9,10.5,6.5,11.0,6.3
1981-09-23,10.7,16.9,10.5,6.5,11.0,6.3,10.5
1981-09-24,16.9,10.5,6.5,11.0,6.3,10.5,7.2
1981-09-25,10.5,6.5,11.0,6.3,10.5,7.2,7.6
1981-09-26,6.5,11.0,6.3,10.5,7.2,7.6,10.7
1981-09-27,11.0,6.3,10.5,7.2,7.6,10.7,7.8
1981-09-28,6.3,10.5,7.2,7.6,10.7,7.8,9.6
1981-09-29,10.5,7.2,7.6,10.7,7.8,9.6,11.4
1981-09-30,7.2,7.6,10.7,7.8,9.6,11.4,12.4
1981-10-01,7.6,10.7,7.8,9.6,11.4,12.4,8.9
1981-10-02,10.7,7.8,9.6,11.4,12.4,8.9,13.2
1981-10-03,7.8,9.6,11.4,12.4,8.9,13.2,8.6
1981-10-04,9.6,11.4,12.4,8.9,13.2,8.6,6.2
1981-10-05,11.4,12.4,8.9,13.2,8.6,6.2,11.4
1981-10-06,12.4,8.9,13.2,8.6,6.2,11.4,13.2
1981-10-07,8.9,13.2,8.6,6.2,11.4,13.2,14.3
1981-10-08,13.2,8.6,6.2,11.4,13.2,14.3,7.3
1981-10-09,8.6,6.2,11.4,13.2,14.3,7.3,12.9
1981-10-10,6.2,11.4,13.2,14.3,7.3,12.9,7.8
1981-10-11,11.4,13.2,14.3,7.3,12.9,7.8,6.2
1981-10-12,13.2,14.3,7.3,12.9,7.8,6.2,5.6
1981-10-13,14.3,7.3,12.9,7.8,6.2,5.6,10.0
1981-10-14,7.3,12.9,7.8,6.2,5.6,10.0,13.3
1981-10-15,12.9,7.8,6.2,5.6,10.0,13.3,8.3
1981-10-16,7.8,6.2,5.6,10.0,13.3,8.3,10.2
1981-10-17,6.2,5.6,10.0,13.3,8.3,10.2,8.6
1981-10-18,5.6,10.0,13.3,8.3,10.2,8.6,7.3
1981-10-19,10.0,13.3,8.3,10.2,8.6,7.3,10.4
1981-10-20,13.3,8.3,10.2,8.6,7.3,10.4,11.2
1981-10-21,8.3,10.2,8.6,7.3,10.4,11.2,13.2
1981-10-22,10.2,8.6,7.3,10.4,11.2,13.2,11.4
1981-10-23,8.6,7.3,10.4,11.2,13.2,11.4,9.1
1981-10-24,7.3,10.4,11.2,13.2,11.4,9.1,6.6
1981-10-25,10.4,11.2,13.2,11.4,9.1,6.6,8.4
1981-10-26,11.2,13.2,11.4,9.1,6.6,8.4,9.7
1981-10-27,13.2,11.4,9.1,6.6,8.4,9.7,13.2
1981-10-28,11.4,9.1,6.6,8.4,9.7,13.2,12.5
1981-10-29,9.1,6.6,8.4,9.7,13.2,12.5,11.0
1981-10-30,6.6,8.4,9.7,13.2,12.5,11.0,11.0
1981-10-31,8.4,9.7,13.2,12.5,11.0,11.0,11.7
1981-11-01,9.7,13.2,12.5,11.0,11.0,11.7,9.2
1981-11-02,13.2,12.5,11.0,11.0,11.7,9.2,11.5
1981-11-03,12.5,11.0,11.0,11.7,9.2,11.5,13.6
1981-11-04,11.0,11.0,11.7,9.2,11.5,13.6,13.7
1981-11-05,11.0,11.7,9.2,11.5,13.6,13.7,10.4
1981-11-06,11.7,9.2,11.5,13.6,13.7,10.4,11.5
1981-11-07,9.2,11.5,13.6,13.7,10.4,11.5,7.6
1981-11-08,11.5,13.6,13.7,10.4,11.5,7.6,9.6
1981-11-09,13.6,13.7,10.4,11.5,7.6,9.6,14.2
1981-11-10,13.7,10.4,11.5,7.6,9.6,14.2,15.7
1981-11-11,10.4,11.5,7.6,9.6,14.2,15.7,10.5
1981-11-12,11.5,7.6,9.6,14.2,15.7,10.5,10.5
1981-11-13,7.6,9.6,14.2,15.7,10.5,10.5,9.7
1981-11-14,9.6,14.2,15.7,10.5,10.5,9.7,9.5
1981-11-15,14.2,15.7,10.5,10.5,9.7,9.5,11.3
1981-11-16,15.7,10.5,10.5,9.7,9.5,11.3,8.9
1981-11-17,10.5,10.5,9.7,9.5,11.3,8.9,9.4
1981-11-18,10.5,9.7,9.5,11.3,8.9,9.4,11.9
1981-11-19,9.7,9.5,11.3,8.9,9.4,11.9,11.7
1981-11-20,9.5,11.3,8.9,9.4,11.9,11.7,13.4
1981-11-21,11.3,8.9,9.4,11.9,11.7,13.4,12.6
1981-11-22,8.9,9.4,11.9,11.7,13.4,12.6,10.1
1981-11-23,9.4,11.9,11.7,13.4,12.6,10.1,15.8
1981-11-24,11.9,11.7,13.4,12.6,10.1,15.8,13.6
1981-11-25,11.7,13.4,12.6,10.1,15.8,13.6,11.9
1981-11-26,13.4,12.6,10.1,15.8,13.6,11.9,9.9
1981-11-27,12.6,10.1,15.8,13.6,11.9,9.9,12.6
1981-11-28,10.1,15.8,13.6,11.9,9.9,12.6,17.8
1981-11-29,15.8,13.6,11.9,9.9,12.6,17.8,15.0
1981-11-30,13.6,11.9,9.9,12.6,17.8,15.0,13.6
1981-12-01,11.9,9.9,12.6,17.8,15.0,13.6,13.4
1981-12-02,9.9,12.6,17.8,15.0,13.6,13.4,10.5
1981-12-03,12.6,17.8,15.0,13.6,13.4,10.5,14.2
1981-12-04,17.8,15.0,13.6,13.4,10.5,14.2,11.5
1981-12-05,15.0,13.6,13.4,10.5,14.2,11.5,13.0
1981-12-06,13.6,13.4,10.5,14.2,11.5,13.0,15.0
1981-12-07,13.4,10.5,14.2,11.5,13.0,15.0,14.7
1981-12-08,10.5,14.2,11.5,13.0,15.0,14.7,12.6
1981-12-09,14.2,11.5,13.0,15.0,14.7,12.6,12.5
1981-12-10,11.5,13.0,15.0,14.7,12.6,12.5,13.5
1981-12-11,13.0,15.0,14.7,12.6,12.5,13.5,14.8
1981-12-12,15.0,14.7,12.6,12.5,13.5,14.8,17.2
1981-12-13,14.7,12.6,12.5,13.5,14.8,17.2,9.7
1981-12-14,12.6,12.5,13.5,14.8,17.2,9.7,12.1
1981-12-15,12.5,13.5,14.8,17.2,9.7,12.1,12.8
1981-12-16,13.5,14.8,17.2,9.7,12.1,12.8,11.2
1981-12-17,14.8,17.2,9.7,12.1,12.8,11.2,16.4
1981-12-18,17.2,9.7,12.1,12.8,11.2,16.4,15.6
1981-12-19,9.7,12.1,12.8,11.2,16.4,15.6,13.3
1981-12-20,12.1,12.8,11.2,16.4,15.6,13.3,11.0
1981-12-21,12.8,11.2,16.4,15.6,13.3,11.0,11.1
1981-12-22,11.2,16.4,15.6,13.3,11.0,11.1,15.0
1981-12-23,16.4,15.6,13.3,11.0,11.1,15.0,12.8
1981-12-24,15.6,13.3,11.0,11.1,15.0,12.8,15.0
1981-12-25,13.3,11.0,11.1,15.0,12.8,15.0,14.2
1981-12-26,11.0,11.1,15.0,12.8,15.0,14.2,14.0
1981-12-27,11.1,15.0,12.8,15.0,14.2,14.0,15.5
1981-12-28,15.0,12.8,15.0,14.2,14.0,15.5,13.3
1981-12-29,12.8,15.0,14.2,14.0,15.5,13.3,15.6
1981-12-30,15.0,14.2,14.0,15.5,13.3,15.6,15.2
1981-12-31,14.2,14.0,15.5,13.3,15.6,15.2,17.4
1982-01-01,14.0,15.5,13.3,15.6,15.2,17.4,17.0
1982-01-02,15.5,13.3,15.6,15.2,17.4,17.0,15.0
1982-01-03,13.3,15.6,15.2,17.4,17.0,15.0,13.5
1982-01-04,15.6,15.2,17.4,17.0,15.0,13.5,15.2
1982-01-05,15.2,17.4,17.0,15.0,13.5,15.2,13.0
1982-01-06,17.4,17.0,15.0,13.5,15.2,13.0,12.5
1982-01-07,17.0,15.0,13.5,15.2,13.0,12.5,14.1
1982-01-08,15.0,13.5,15.2,13.0,12.5,14.1,14.8
1982-01-09,13.5,15.2,13.0,12.5,14.1,14.8,16.2
1982-01-10,15.2,13.0,12.5,14.1,14.8,16.2,15.8
1982-01-11,13.0,12.5,14.1,14.8,16.2,15.8,19.1
1982-01-12,12.5,14.1,14.8,16.2,15.8,19.1,22.2
1982-01-13,14.1,14.8,16.2,15.8,19.1,22.2,15.9
1982-01-14,14.8,16.2,15.8,19.1,22.2,15.9,13.0
1982-01-15,16.2,15.8,19.1,22.2,15.9,13.0,14.1
1982-01-16,15.8,19.1,22.2,15.9,13.0,14.1,15.8
1982-01-17,19.1,22.2,15.9,13.0,14.1,15.8,24.0
1982-01-18,22.2,15.9,13.0,14.1,15.8,24.0,18.0
1982-01-19,15.9,13.0,14.1,15.8,24.0,18.0,19.7
1982-01-20,13.0,14.1,15.8,24.0,18.0,19.7,25.2
1982-01-21,14.1,15.8,24.0,18.0,19.7,25.2,20.5
1982-01-22,15.8,24.0,18.0,19.7,25.2,20.5,19.3
1982-01-23,24.0,18.0,19.7,25.2,20.5,19.3,15.8
1982-01-24,18.0,19.7,25.2,20.5,19.3,15.8,17.0
1982-01-25,19.7,25.2,20.5,19.3,15.8,17.0,18.4
1982-01-26,25.2,20.5,19.3,15.8,17.0,18.4,13.3
1982-01-27,20.5,19.3,15.8,17.0,18.4,13.3,14.6
1982-01-28,19.3,15.8,17.0,18.4,13.3,14.6,12.5
1982-01-29,15.8,17.0,18.4,13.3,14.6,12.5,17.0
1982-01-30,17.0,18.4,13.3,14.6,12.5,17.0,17.1
1982-01-31,18.4,13.3,14.6,12.5,17.0,17.1,14.0
1982-02-01,13.3,14.6,12.5,17.0,17.1,14.0,14.6
1982-02-02,14.6,12.5,17.0,17.1,14.0,14.6,13.3
1982-02-03,12.5,17.0,17.1,14.0,14.6,13.3,14.8
1982-02-04,17.0,17.1,14.0,14.6,13.3,14.8,15.1
1982-02-05,17.1,14.0,14.6,13.3,14.8,15.1,13.1
1982-02-06,14.0,14.6,13.3,14.8,15.1,13.1,13.6
1982-02-07,14.6,13.3,14.8,15.1,13.1,13.6,19.5
1982-02-08,13.3,14.8,15.1,13.1,13.6,19.5,22.7
